Wet down all front and back decks and keep them wet.,√,√,√,√,√,√,
"Drench fire-facing walls, and continually monitor for spot fires.",√,√,√,√,√,√,
"When fire intensity becomes too great - retreat inside, move hoses into the house and connect them to the washing machine taps.",√,√,√,√,√,√,
Continually patrol house/ceiling to prevent and put out any internal fires.,√,√,√,√,√,√,
Block under exterior doorways with wet towels/blankets.,√,√,√,√,√,√,
Check roof space regularly.,√,√,√,√,√,√,
Make sure small pets are restrained.,,,,,√,,
"If the house catches fire, move away from the source and shut doors behind you to isolate and slow down the burning parts of the house. The last room to retreat to must be the one with two exits (<name the room> eg. downstairs laundry). (Hopefully the fire front will have passed by the time you are forced into the designated room).",√,√,√,√,√,√,
"If the <designated room> is no longer safe, and if it is safe to do so, move outside to the side of the house that will offer the most protection from radiant heat and cover up with dry woollen blankets and shelter there until the fire passes.",√,√,√,√,√,√,
Try to manage the pets but do not let anyone go after them should they escape - stay together.,,,,,√,,
Do not retreat to a bathroom - it is generally an unsafe room as it may only have one exit and windows can be frosted for privacy - which does not allow you to see outside.,√,√,√,√,√,√,
"Draw curtains, but maintain a view of the conditions outside.",√,√,√,√,√,√,
"Keep drinking plenty of water, even if not feeling thirsty",√,√,√,√,√,√,New item