Check the Warrandyte Fire Watch site warrandyte.org.au/fire-watch/,√,√,√,√,√,√,I want to check this item with Dick
Place the pets securely in the <designated space> eg. downstairs laundry area with water and food.,,,,,√,,
"Block all downpipes with gutter plugs, tennis balls or rags and fill gutters with water.",√,√,√,√,√,√,
Move cars into the garage and close the door.,√,√,√,√,√,√,
Turn off the Gas supply at the main.,√,√,√,√,√,√,
Divert the home phone to a mobile and carry that mobile at all times.,√,√,√,√,√,√,
"Open Emergency Kit and get everyone to put on their fire protection clothing and gear - including masks. Hand out torches and fill and place metal buckets at front and back doors, with mops and wheelie bins filled with water.",,√,√,√,√,√,
Direct gas bottle vents away from the house.,√,,,,,,
Monitor 774KHz AM (ABC Radio) and http://www.cfa.vic.gov.au/warnings-restrictions/warnings-and-incidents/ on computer (assuming power is still available).,√,√,√,√,√,√,
Close all windows and doors (do not lock) and draw curtains.,√,√,√,√,√,√,
Turn off the air conditioner or evaporative cooling.,√,√,√,√,√,√,
"Fill all baths and basins/sinks (upstairs and downstairs), and soak some towels, the towels to be used to seal under doors. Dry woollen blankets can cover the family in the event of the need to directly face the fire.",,√,√,√,√,√,
Continually monitor externally for ember attack.,√,√,√,√,√,√,
"Place a ladder, torch and Supersoaker (powerful water pistol) under the  manhole to monitor roof space.",√,√,√,√,√,√,
Remove all rugs and head collars from livestock.,,,,,√,,
"Move any outdoor furniture, flammable items, doormats away from the house. Doormats are known to catch fire.",√,√,√,√,√,√,New item
"Advise family, friends and/or neighbours that you are on site and have been unable to leave.",√,√,√,√,√,√,